ID,Description,Entry_ID,Spacy,Parameter_ID
2130_heu-1,Heu,0,Heu,2130_heu
2131_haar-1,Haar,0,Haar,2131_haar
2132_haarwalter-1,Haarwalter,0,,2132_haarwalterheerwalter
2132_heerwalter-2,Heerwalter,0,,2132_haarwalterheerwalter
2133_lob-1,Lob,0,Lob,2133_loblobliedlobgesangpreis
2133_loblied-2,Loblied,0,Loblied,2133_loblobliedlobgesangpreis
2133_lobgesang-3,Lobgesang,0,Lobgesang,2133_loblobliedlobgesangpreis
2133_preis-4,Preis,0,Preis,2133_loblobliedlobgesangpreis
2134_tausend-1,tausend,0,tausend,2134_tausend
2135_loben-1,loben,0,loben,2135_lobenpreisen
2135_preisen-2,preisen,0,preisen,2135_lobenpreisen
2136_hitze-1,Hitze,0,Hitze,2136_hitzefieber
2136_fieber-2,Fieber,0,Fieber,2136_hitzefieber
2137_hei-1,heiß,0,heiß,2137_hei
2138_hausstand-1,Hausstand,0,Hausstand,2138_hausstand
2139_hausherr-1,Hausherr,0,Hausherr,2139_hausherr
2140_familie-1,Familie,0,Familie,2140_familiehaushalt
2140_haushalt-2,Haushalt,0,Haushalt,2140_familiehaushalt
2141_eli-1,eli,0,eli,2141_elimeingott
2141_meingott-2,mein Gott,0,mein Gott,2141_elimeingott
2142_hier-1,hier,0,hier,2142_hierher
2142_her-2,her,0,her,2142_hierher
2143_kammer-1,Kammer,0,Kammer,2143_kammer
2144_dieser-1,dieser,0,dieser,2144_dieser
2145_hierher-1,hierher,0,hierher,2145_hierher
2146_kampf-1,Kampf,0,Kampf,2146_kampf
2147_kampf-1,Kampf,0,Kampf,2147_kampf
2148_helm-1,Helm,0,Helm,2148_helm
2149_helfen-1,helfen,0,helfen,2149_helfen
2150_vonhimmlischerabkunft-1,von himmlischer Abkunft,0,von himmlischer Abkunft,2150_vonhimmlischerabkunfthimmlisch
2150_himmlisch-2,himmlisch,0,himmlisch,2150_vonhimmlischerabkunfthimmlisch
2151_himmel-1,Himmel,0,Himmel,2151_himmel
2152_hinter-1,hinter,0,hinter,2152_hinterjenseits
2152_jenseits-2,jenseits,0,jenseits,2152_hinterjenseits
2153_hinter-1,hinter,0,hinter,2153_hinterjenseitsuber
2153_jenseits-2,jenseits,0,jenseits,2153_hinterjenseitsuber
2153_uber-3,über,0,über,2153_hinterjenseitsuber
2154_hinzukommen-1,hinzukommen,0,hinzukommen,2154_hinzukommenvergehen
2154_vergehen-2,vergehen,0,vergehen,2154_hinzukommenvergehen
2155_hinterlistig-1,hinterlistig,0,hinterlistig,2155_hinterlistigverstellt
2155_verstellt-2,verstellt,0,verstellt,2155_hinterlistigverstellt
2156_hinterlist-1,Hinterlist,0,Hinterlist,2156_hinterlist
2157_hinterste-1,hinterste,0,hinterste,2157_hintersteletzteauerste
2157_letzte-2,letzte,0,letzte,2157_hintersteletzteauerste
2157_auerste-3,äußerste,0,äußerste,2157_hintersteletzteauerste
2158_fangen-1,fangen,0,fangen,2158_fangen
2159_hierher-1,hierher,0,hierher,2159_hierherkommher
2159_kommher-2,komm her,0,komm her,2159_hierherkommher
2160_kommen-1,kommen,0,kommen,2160_kommen
2161_er-1,er,0,er,2161_erdieser
2161_dieser-2,dieser,0,dieser,2161_erdieser
2162_wehklagen-1,wehklagen,0,wehklagen,2162_wehklagenklageliedersingen
2162_klageliedersingen-2,Klagelieder singen,0,Klagelieder singen,2162_wehklagenklageliedersingen
2163_haufen-1,Haufen,0,Haufen,2163_haufenmenge
2163_menge-2,Menge,0,Menge,2163_haufenmenge
2164_gestalt-1,Gestalt,0,Gestalt,2164_gestaltaussehen
2164_aussehen-2,Aussehen,0,Aussehen,2164_gestaltaussehen
2165_lachen-1,lachen,0,lachen,2165_lachen
2166_brot-1,Brot,0,Brot,2166_brotbrotlaibbrotbissenbissen
2166_brotlaib-2,Brotlaib,0,Brotlaib,2166_brotbrotlaibbrotbissenbissen
2166_brotbissen-3,Brotbissen,0,,2166_brotbrotlaibbrotbissenbissen
2166_bissen-4,Bissen,0,Bissen,2166_brotbrotlaibbrotbissenbissen
2167_hugel-1,Hügel,0,Hügel,2167_hugel
2168_grab-1,Grab,0,Grab,2168_grab
2169_graber-1,Gräber,0,Gräber,2169_graber
2170_falle-1,Falle,0,Falle,2170_falleschlinge
2170_schlinge-2,Schlinge,0,Schlinge,2170_falleschlinge
2171_heiter-1,heiter,0,heiter,2171_heiterfrohlichsorgenfrei
2171_frohlich-2,fröhlich,0,fröhlich,2171_heiterfrohlichsorgenfrei
2171_sorgenfrei-3,sorgenfrei,0,sorgenfrei,2171_heiterfrohlichsorgenfrei
2172_frohlichkeit-1,Fröhlichkeit,0,Fröhlichkeit,2172_frohlichkeitheiterkeit
2172_heiterkeit-2,Heiterkeit,0,Heiterkeit,2172_frohlichkeitheiterkeit
2173_laden-1,laden,0,laden,2173_laden
2174_laufen-1,laufen,0,laufen,2174_laufenspringen
2174_springen-2,springen,0,springen,2174_laufenspringen
