ID,Name,Concepticon_ID,Concepticon_Gloss
265_uberhauptdenn,"überhaupt, denn",,
266_alljederganzviel,"all, jeder, ganz, viel",1198,MANY
267_allmachtigallmachtigerallwaltender,"allmächtig, Allmächtiger, Allwaltender",,
268_alternaltwerden,"altern, alt werden",,
270_tapfertatig,"tapfer, tätig",3,BRAVE
271_amen,amen,,
272_schulter,Schulter,1482,SHOULDER
273_dennnun,"denn, nun",,
274_daraufauerdemanaufinuber,"darauf, außerdem, an, auf, in, über",1460,IN
275_ahnevorfahre,"Ahne, Vorfahre",,
276_hinzufugenzufortfahren,"hinzufügen zu, fortfahren",,
277_entbietenbefehlenanordnen,"entbieten, befehlen, anordnen",1998,COMMAND
278_gebotbefehl,"Gebot, Befehl",,
279_antrinkenbetrinken,"antrinken, betrinken",,
280_anvertrautesempfehlunguberlieferung,"Anvertrautes, Empfehlung, Überlieferung",,
281_ubergebenuberliefernverpachtenempfehlenanempfehlengeben,"übergeben, überliefern, verpachten, empfehlen, anempfehlen, geben",1447,GIVE
282_kommenkunftigsein,"kommen, künftig sein",1446,COME
283_besitzeninnehaben,"besitzen, innehaben",684,OWN
284_inderheimatbefindlichdaheimzuhause,"in der Heimat befindlich, daheim, zuhause",,
285_anrufenbittenschelten,"anrufen, bitten, schelten",1828,ASK (REQUEST)
286_diebekleidunganlegenanziehen,"die Bekleidung anlegen, anziehen",158,PUT ON
287_aufhaspeln,aufhaspeln,,
288_niederlegen,niederlegen,,
289_sichniederbeugensichneigensichbucken,"sich niederbeugen, sich neigen, sich bücken",,
290_beruhigenerquicken,"beruhigen, erquicken",,
291_auferlegenhinzufugen,"auferlegen, hinzufügen",2882,ADD
292_beschweren,beschweren,,
293_plotzlichsogleich,"plötzlich, sogleich",2920,SUDDENLY
294_sichniederlegenzutischlegenlagern,"sich niederlegen, zu Tisch legen, lagern",215,LIE DOWN
295_lesung,Lesung,,
296_lesen,lesen,724,READ
297_auflegung,Auflegung,,
298_einlegenauflegenbeibringen,"einlegen, auflegen, beibringen",,
299_verhindernhindernaufhaltenabhalten,"verhindern, hindern, aufhalten, abhalten",1550,PREVENT
301_imgeheimenheimlichverborgen,"im geheimen, heimlich, verborgen",,
303_aufgleicheweisegleichermaen,"auf gleiche Weise, gleichermaßen",,
305_vergewaltigenraubenkrankenqualenerpressenmisshandelnbeleidigenschmahengewaltantununrechtantun,"vergewaltigen, rauben, kränken, quälen, erpressen, misshandeln, beleidigen, schmähen, Gewalt antun, Unrecht antun",1952,TORTURE
306_ubermachtmisshandlung,"Übermacht, Misshandlung",,
307_aufschreibensichindiesteuerlisteneintragenlassen,"aufschreiben, sich in die Steuerlisten eintragen lassen",,
308_verstecktemeinungvermutung,"versteckte Meinung, Vermutung",,
309_atmenhauchen,"atmen, hauchen",1407,BREATHE
310_benennennennenrufen,"benennen, nennen, rufen",180,CALL BY NAME
311_mutfassensicherkuhnenwagen,"Mut fassen, sich erkühnen, wagen",1779,DARE
312_durchzwangveranlassennotigenzwingen,"durch Zwang veranlassen, nötigen, zwingen",,
313_erneuernsicherneuernerneuertwerden,"erneuern, sich erneuern, erneuert werden",,
314_erneuerung,Erneuerung,,
315_bedrangenbedrucken,"bedrängen, bedrücken",401,OPPRESS
316_ruheberuhigung,"Ruhe, Beruhigung",3458,SILENCE
318_hinzutretenzuhinzukommen,"hinzutreten zu, hinzukommen",,
319_lasterungschmahrede,"Lästerung, Schmährede",,
320_verleumdenverlasternschmahen,"verleumden, verlästern, schmähen",,
321_belebenerweckenlebendigmachen,"beleben, erwecken, lebendig machen",,
322_stillwerdennachlassenverstummen,"still werden, nachlassen, verstummen",,
325_verstummenstillwerden,"verstummen, still werden",,
326_einschlafenentschlummernentschlafen,"einschlafen, entschlummern, entschlafen",1106,FALL ASLEEP
328_anfangenanhebenbeginnen,"anfangen, anheben, beginnen",1806,BEGIN
329_aufzimmerndaraufbauenaufbauen,"aufzimmern, daraufbauen, aufbauen",,
331_bedrangendrangenhinzutretenzudrangen,"bedrängen, drängen, hinzutreten, zudrängen",,
332_fluchverfluchter,"Fluch, Verfluchter",,
333_unterjochenindienstbarkeitbringendienstbarmachen,"unterjochen, in Dienstbarkeit bringen, dienstbar machen",,
334_trostenerquicken,"trösten, erquicken",,
336_befleckentadeln,"beflecken, tadeln",,
337_billigkeitehrbarkeit,"Billigkeit, Ehrbarkeit",,
338_ehrbarredlich,"ehrbar, redlich",,
339_entlanguberhinaufhin,"entlang, über ... hin, auf ... hin",,
341_gegenkauflosegeld,"Gegenkauf, Lösegeld",,
342_tadel,Tadel,,
343_antwortverteidigung,"Antwort, Verteidigung",,
344_bekenntnis,Bekenntnis,,
345_gegenlohnvergeltung,"Gegenlohn, Vergeltung",,
346_abend,Abend,1629,EVENING
347_feindlich,feindlich,,
348_widrigentgegengesetztfeindlichimgegenteil,"widrig, entgegengesetzt, feindlich, im Gegenteil",,
349_entgegennahmeempfangempfangenannahme,"Entgegennahme, Empfang, Empfangen, Annahme",694,GET
350_entgegennehmendfesthaltend,"entgegennehmend, festhaltend",,
351_angenehm,angenehm,,
352_annahmeaufnahmeerhebung,"Annahme, Aufnahme, Erhebung",,
353_verabscheuenswertverabscheuenswurdig,"verabscheuenswert, verabscheuenswürdig",,
354_entgegenstehenderwidersacher,"Entgegenstehender, Widersacher",,
355_gegnervorgerichtwidersacher,"Gegner vor Gericht, Widersacher",,
356_nuchternverstandigvernunftig,"nüchtern, verständig, vernünftig",,
357_antlitzgesicht,"Antlitz, Gesicht",1560,FACE
358_offenfreimutig,"offen, freimütig",3235,OPEN (STATE)
359_offenoffenbaroffentlich,"offen, offenbar, öffentlich",3235,OPEN (STATE)
360_gegenwertpreis,"Gegenwert, Preis",657,PRICE
361_antwort,Antwort,,
362_notdurftunterhaltsold,"Notdurft, Unterhalt, Sold",,
363_angesichtantlitzgesicht,"Angesicht, Antlitz, Gesicht",1560,FACE
364_antlitzgesichtangesicht,"Antlitz, Gesicht, Angesicht",1560,FACE
365_amtdienst,"Amt, Dienst",2430,OFFICE
366_leistendienenbesorgendarreichen,"leisten, dienen, besorgen, darreichen",3648,SERVE (SOMEONE)
367_diener,Diener,,
368_scheltenbedroheninverlegenheitgeratentadelnanfahren,"schelten, bedrohen, in Verlegenheit geraten, tadeln, anfahren",1192,THREATEN
369_entbindenlosenauflosenerklarenlosbinden,"entbinden, lösen, auflösen, erklären, losbinden",1626,EXPLAIN
370_entbundenwerdengelostwerden,"entbunden werden, gelöst werden",,
371_ende,Ende,742,END (OF SPACE)
372_erwidernantwortenentgegnen,"erwidern, antworten, entgegnen",1275,ANSWER
373_bekennenpreisenerklaren,"bekennen, preisen, erklären",1626,EXPLAIN
374_entkleidenausziehen,"entkleiden, ausziehen",1755,UNDRESS
375_gehorchenerhorenerhortwerden,"gehorchen, erhören, erhört werden",1635,OBEY
376_nachforschenprufenuntersuchen,"nachforschen, prüfen, untersuchen",2571,TRY (TEST)
377_enthullungoffenbarung,"Enthüllung, Offenbarung",,
378_enthulltunverhullt,"enthüllt, unverhüllt",,
379_enthullenabdeckenentbloenoffenbaren,"enthüllen, abdecken, entblößen, offenbaren",,
380_geist,Geist,53,SPIRIT
381_endlos,endlos,,
382_anderssonstentweder,"anders, sonst, entweder",2504,DIFFERENT
383_endenendigen,"enden, endigen",1928,CEASE
384_entlassen,entlassen,1095,LET GO OR SET FREE
385_scheidenabscheidenentlassenwerdenaufgelostwerdensichauflosensichlosmachen,"scheiden, abscheiden, entlassen werden, aufgelöst werden, sich auflösen, sich losmachen",,
386_annehmenaufnehmengenieenempfangenwiederempfangenerhalten,"annehmen, aufnehmen, genießen, empfangen, wieder empfangen, erhalten",694,GET
387_entsagenabschiednehmenentlassenzusammenkommenmitsprechenmitsprechenlebewohlsagen,"entsagen, Abschied nehmen, entlassen, zusammenkommen mit, sprechen mit, sprechen, Lebewohl sagen",1623,SPEAK
388_entgegenrennenstreiten,"entgegenrennen, streiten",3302,QUARREL (VERB)
389_aufetwassehenberucksichtigenachtgebenanseheninbetrachtziehenbeachten,"auf etwas sehen, berücksichtigen, achtgeben, ansehen, in Betracht ziehen, beachten",1650,WATCH
390_widersprechenbekampfenbestreiten,"widersprechen, bekämpfen, bestreiten",,
392_darbringenopfern,"darbringen, opfern",,
393_scheuenrucksichtnehmen,"scheuen, Rücksicht nehmen",,
394_widerleglichbestreitbar,"widerleglich, bestreitbar",,
395_entgegenspeienausspeienverachtenverwerfen,"entgegenspeien, ausspeien, verachten, verwerfen",2715,DESPISE
396_darbietungbeistanddarreichung,"Darbietung, Beistand, Darreichung",,
397_versehendarreichen,"versehen, darreichen",,
398_entgegenstehenwiderstehenwiderstreitenwiderstreben,"entgegenstehen, widerstehen, widerstreiten, widerstreben",,
399_unwillenzeigenwiderspenstigseinanstarrenmurren,"Unwillen zeigen, widerspenstig sein, anstarren, murren",,
400_anhangensichannehmendienenhelfenbeistehen,"anhangen, sich annehmen, dienen, helfen, beistehen",1897,HELP
401_einfallenerinnerngedenkensichbesinnenuberlegenbedenkensichentsinnen,"einfallen, erinnern, gedenken, sich besinnen, überlegen, bedenken, sich entsinnen",,
402_gegenwartangesichtpersongesicht,"Gegenwart, Angesicht, Person, Gesicht",1560,FACE
403_gegenuber,gegenüber,2670,ACROSS
404_sofort,sofort,2916,INSTANTLY (IMMEDIATELY)
405_gegenwartig,gegenwärtig,,
406_entkleiden,entkleiden,,
407_widersprechenantworten,"widersprechen, antworten",1275,ANSWER
408_widerstreitenankampfenentgegenkampfen,"widerstreiten, ankämpfen, entgegenkämpfen",,
409_zwingen,zwingen,,
410_soldkosten,"Sold, Kosten",21,TASTE (SOMETHING)
411_balken,Balken,,
412_gotter,Götter,,
413_halbgotter,Halbgötter,,
414_gnadiggunstig,"gnädig, günstig",,
415_freudedankgnadegunstgnadengabe,"Freude, Dank, Gnade, Gunst, Gnadengabe",2524,JOY
416_kleinerasekleinergott,"kleiner Ase, kleiner Gott",,
417_asegott,"Ase, Gott",3231,DEITY
419_anderezweite,"andere, zweite",197,OTHER
420_verschiedenheit,Verschiedenheit,,
421_anders,anders,2504,DIFFERENT
422_verschieden,verschieden,2504,DIFFERENT
423_spitzeende,"Spitze, Ende",2992,TIP (OF OBJECT)
424_geistseele,"Geist, Seele",811,SOUL
425_apostolat,Apostolat,,
426_apostelboteabgesandter,"Apostel, Bote, Abgesandter",,
427_apfel,Apfel,1320,APPLE
428_axt,Axt,677,AXE
429_aaradler,"Aar, Adler",1905,EAGLE
430_arabien,Arabien,,
431_arbeitenduldenkampfenfur,"arbeiten, dulden, kämpfen für",1086,WORK (ACTIVITY)
432_arbeitdrangsalhemmungbedrangnis,"Arbeit, Drangsal, Hemmung, Bedrängnis",984,WORK (LABOUR)
433_erbeerbschaft,"Erbe, Erbschaft",,
434_erbnehmererbe,"Erbnehmer, Erbe",,
435_erbe,Erbe,,
436_erbin,Erbin,,
437_grenzwall,Grenzwall,,
439_feiglingelender,"Feigling, Elender",,
440_feigeelend,"feige, elend",3812,COWARDLY
444_pfeil,Pfeil,977,ARROW
445_pflugenackern,"pflügen, ackern",1921,PLOUGH
446_dienstag,Dienstag,1695,TUESDAY
447_archekastenfutteralbeutelgeldkasten,"Arche, Kasten, Futteral, Beutel, Geldkasten",2951,POUCH
448_erzengel,Erzengel,,
449_barmherzigkeit,Barmherzigkeit,,
450_almosenbarmherzigkeit,"Almosen, Barmherzigkeit",,
451_barmherzig,barmherzig,,
452_barmherzigkeitalmosen,"Barmherzigkeit, Almosen",,
454_armbeklagenswertbemitleidenswert,"arm, beklagenswert, bemitleidenswert",1674,POOR
455_arm,Arm,1673,ARM
456_sicher,sicher,,
457_sichergewiss,"sicher, gewiss",509,CERTAIN
458_spezereiengewurze,"Spezereien, Gewürze",,
459_wohnsitzaufenthalt,"Wohnsitz, Aufenthalt",,
460_bereitflink,"bereit, flink",,
461_umsonstunentgeltlichohneursachevergebens,"umsonst, unentgeltlich, ohne Ursache, vergebens",1765,IN VAIN
462_sommererntezeiternte,"Sommer, Erntezeit, Ernte",1342,SUMMER
463_asien,Asien,,
464_eselsmuhlemuhlstein,"Eselsmühle, Mühlstein",,
465_eseleselin,"Esel, Eselin",1862,DONKEY
466_asche,Äsche,,
467_eschespeer,"Esche, Speer",945,SPEAR
468_mietlingtagelohner,"Mietling, Tagelöhner",,
469_lohnzins,"Lohn, Zins",1122,WAGES
470_espe,Espe,,
471_ass,Ass,,
472_sicherheitgewissheit,"Sicherheit, Gewissheit",,
473_aststreuvonlaubzweigpalmzweig,"Ast, Streu von Laub, Zweig, Palmzweig",1531,BRANCH
474_vonbeianzuunterauf,"von, bei, an, zu, unter, auf",1485,BELOW OR UNDER
476_zeigenerscheinen,"zeigen, erscheinen",1039,SHOW
477_bringenherbeibringendarbringenhinzutragen,"bringen, herbeibringen, darbringen, hinzutragen",692,BRING
478_herunterziehen,herunterziehen,,
479_falleninzufallenfallen,"fallen in, zufallen, fallen",1280,FALL
480_einlaufenlanden,"einlaufen, landen",1922,LAND (DESCEND)
481_zugang,Zugang,,
482_hinzugehenkommenhinzukommen,"hinzugehen, kommen, hinzukommen",1446,COME
483_eingang,Eingang,,
484_zuganglich,zugänglich,,
485_vollendsinordnungbringenwiederherstelleneinrichten,"vollends in Ordnung bringen, wiederherstellen, einrichten",,
486_hingebenubergebengebendarreichen,"hingeben, übergeben, geben, darreichen",1447,GIVE
487_anhaltennahern,"anhalten, nähern",2880,HALT (STOP)
488_herabhebenherabnehmen,"herabheben, herabnehmen",,
489_hinabhangenhinablassenhinunterlassenniederlassen,"hinabhängen, hinablassen, hinunterlassen, niederlassen",,
490_herzurufen,herzurufen,,
491_saatsaatfeld,"Saat, Saatfeld",714,SEED
492_essenlassen,essen lassen,,
493_gewahrenzuerkennen,"gewähren, zuerkennen",,
494_hinlegenauflegengeldanlegenlegenwerfenaufsetzen,"hinlegen, auflegen, Geld anlegen, legen, werfen, aufsetzen",1456,THROW
495_berufen,berufen,,
496_verrat,Verrat,,
498_dabeiliegenvorliegenvorhandensein,"dabeiliegen, vorliegen, vorhanden sein",,
499_herannahen,herannahen,,
500_aufnehmenversetzenannehmen,"aufnehmen, versetzen, annehmen",,
503_sehenaufsichinachtnehmensichhuten,"sehen auf, sich in Acht nehmen, sich hüten",,
504_darstellen,darstellen,,
505_anfassenanruhrenberuhrenangreifen,"anfassen, anrühren, berühren, angreifen",1892,TOUCH
507_dabeisteheneintretenhinzukommenhinzutretenzugegensein,"dabeistehen, eintreten, hinzukommen, hinzutreten, zugegen sein",749,ENTER
508_hinabsteigen,hinabsteigen,2014,GO DOWN (DESCEND)
509_vatervorfahre,"Vater, Vorfahre",1217,FATHER
510_beruhrenanruhren,"berühren, anrühren",1892,TOUCH
511_herbeiziehenherbeifuhrenherbeibringenhereinfuhrenbringen,"herbeiziehen, herbeiführen, herbeibringen, hereinführen, bringen",692,BRING
512_heranziehenherbeiziehenherzuziehen,"heranziehen, herbeiziehen, herzuziehen",,
513_schlecht,schlecht,1292,BAD
