ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProsodicStructure
f77,,Gothic,76_abstehenablassenabfallen,afstandan,afstandan,a ɸ s t a n d a n,,Kobler1989,,,^ afstandan $,default,VCCCVCCVC
f78,,Gothic,77_abfallscheidung,afstass,afstass,a ɸ s t a sː,,Kobler1989,,,^ afstass $,default,VCCCVC
f79,,Gothic,78_schwankendmachenangstlichmachen,afswaggwjan,afswaggwjan,a ɸ s w a ɡ ɡ w j a n,,Kobler1989,,,^ afswaggwjan $,default,VCCCVCCCCVC
f80,,Gothic,79_abwischenausloschen,afswaírban,afswaírban,a ɸ s w ɛ r b a n,,Kobler1989,,,^ afswaírban $,default,VCCCVCCVC
f81,,Gothic,80_hinten,afta,afta,a ɸ t a,,Kobler1989,,,^ afta $,default,VCCV
f82,,Gothic,81_vonhinten,aftana,aftana,a ɸ t a n a,,Kobler1989,,,^ aftana $,default,VCCVCV
f83,,Gothic,82_vonhintenhinten,aftarō,aftarō,a ɸ t a r o,,Kobler1989,,,^ aftarō $,default,VCCVCV
f84,,Gothic,83_abreien,aftaúrnan,aftaúrnan,a ɸ t ɔ r n a n,,Kobler1989,,,^ aftaúrnan $,default,VCCVCCVC
f85,,Gothic,84_wegziehenabziehenfortziehen,aftiuhan,aftiuhan,a ɸ t ɪ u h a n,,Kobler1989,,,^ aftiuhan $,default,VCCVVCVC
f86,,Gothic,85_wiederzuruckruckwartswiederumabermals,aftra,aftra,a ɸ t r a,,Kobler1989,,,^ aftra $,default,VCCCV
f87,,Gothic,86_wiederanfangwiedererneuerung,aftraanastōdeins,aftraanastōdeins,a ɸ t r a a n a s t o ð i n s,,Kobler1989,,,^ aftraanastōdeins $,default,VCCCVVCVCCVCVCC
f88,,Gothic,87_letztehintere,aftuma,aftuma,a ɸ t u m a,,Kobler1989,,,^ aftuma $,default,VCCVCV
f89,,Gothic,88_letzte,aftumists,aftumists,a ɸ t u m ɪ s t s,,Kobler1989,,,^ aftumists $,default,VCCVCVCCC
f90,,Gothic,89_durstenverdurstendurstigsein,afþaúrsjan,afþaúrsjan,a ɸ θ ɔ r s j a n,,Kobler1989,,,^ afþaúrsjan $,default,VCCVCCCVC
f91,,Gothic,90_wegfliehenfliehen,afþliuhan,afþliuhan,a ɸ θ l ɪ u h a n,,Kobler1989,,,^ afþliuhan $,default,VCCCVVCVC
f92,,Gothic,91_sichabwaschenwaschensichwaschen,afþwahan,afþwahan,a ɸ θ w a h a n,,Kobler1989,,,^ afþwahan $,default,VCCCVCVC
f93,,Gothic,92_bewegenabbringen,afwagjan,afwagjan,a ɸ w a ɣ j a n,,Kobler1989,,,^ afwagjan $,default,VCCVCCVC
f94,,Gothic,93_etwaswegwerfenweichenfortwerfen,afwaírpan,afwaírpan,a ɸ w ɛ r p a n,,Kobler1989,,,^ afwaírpan $,default,VCCVCCVC
f95,,Gothic,94_wegwalzen,afwalwjan,afwalwjan,a ɸ w a l w j a n,,Kobler1989,,,^ afwalwjan $,default,VCCVCCCVC
f96,,Gothic,95_abwendenvermeiden,afwandjan,afwandjan,a ɸ w a n d j a n,,Kobler1989,,,^ afwandjan $,default,VCCVCCCVC
